Name,Equation number,Model - new table,Input variable,Output variables,Equation shape,Formule,Equation form,Zotero reference,IPCC risks,Input categories,Output categories,Latex fragment,Vensim,Vensim name
Fish stock,3.1,GRACE,"Global mean temperature , Rate of change in precipitation ",Fish stock,,grace.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/m5QyOryfgkvS7r6Ua6f3Ug/1PR87Vh4hinlIZZvAG0swqGZc_QJ1WMkXi0kCb0HJdMVU-EdrfAzI78Ggq2Tct6ywZwXKY_oRxo5ttvxmF34F3FRtRrz--FDWzJApLvNQUnoaffwxGziYjZ0QzyEv4uMKmHcX6UgID-95aiCg4pJJA/3DZg9yTmIyEfSViAtkSzj1Gu7Y9sGnLWAeWkvTV2MfI),,[image] ([pdf](zotero://open-pdf/library/items/Y6BGLV9Y?page=33&annotation=3AQ8WBEU))  ,,"Temperature, Precipitation",,d X=\alpha d T^{2}+\beta d T+\gamma d P,Non,
Water cooling and run-off,3.1,GRACE,"Global mean temperature , Rate of change in precipitation ",Natural resources in thermal power,,grace.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/m5QyOryfgkvS7r6Ua6f3Ug/1PR87Vh4hinlIZZvAG0swqGZc_QJ1WMkXi0kCb0HJdMVU-EdrfAzI78Ggq2Tct6ywZwXKY_oRxo5ttvxmF34F3FRtRrz--FDWzJApLvNQUnoaffwxGziYjZ0QzyEv4uMKmHcX6UgID-95aiCg4pJJA/3DZg9yTmIyEfSViAtkSzj1Gu7Y9sGnLWAeWkvTV2MfI),,[image] ([pdf](zotero://open-pdf/library/items/Y6BGLV9Y?page=33&annotation=3AQ8WBEU))  ,,"Temperature, Precipitation",,d X=\alpha d T^{2}+\beta d T+\gamma d P,Non,
Run-off,3.1,GRACE,"Global mean temperature , Rate of change in precipitation ",Natural resources in hydro power,,grace.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/m5QyOryfgkvS7r6Ua6f3Ug/1PR87Vh4hinlIZZvAG0swqGZc_QJ1WMkXi0kCb0HJdMVU-EdrfAzI78Ggq2Tct6ywZwXKY_oRxo5ttvxmF34F3FRtRrz--FDWzJApLvNQUnoaffwxGziYjZ0QzyEv4uMKmHcX6UgID-95aiCg4pJJA/3DZg9yTmIyEfSViAtkSzj1Gu7Y9sGnLWAeWkvTV2MfI),,[image] ([pdf](zotero://open-pdf/library/items/Y6BGLV9Y?page=33&annotation=3AQ8WBEU))  ,,"Temperature, Precipitation",,d X=\alpha d T^{2}+\beta d T+\gamma d P,Non,
Energy demand,3.1,GRACE,"Global mean temperature , Rate of change in precipitation ",Energy demand,,grace.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/m5QyOryfgkvS7r6Ua6f3Ug/1PR87Vh4hinlIZZvAG0swqGZc_QJ1WMkXi0kCb0HJdMVU-EdrfAzI78Ggq2Tct6ywZwXKY_oRxo5ttvxmF34F3FRtRrz--FDWzJApLvNQUnoaffwxGziYjZ0QzyEv4uMKmHcX6UgID-95aiCg4pJJA/3DZg9yTmIyEfSViAtkSzj1Gu7Y9sGnLWAeWkvTV2MfI),,[image] ([pdf](zotero://open-pdf/library/items/Y6BGLV9Y?page=33&annotation=3AQ8WBEU))  ,,"Temperature, Precipitation",,d X=\alpha d T^{2}+\beta d T+\gamma d P,Non,
Tourism,3.1,GRACE,"Global mean temperature , Rate of change in precipitation ",Final demand for transport and services,,grace.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/m5QyOryfgkvS7r6Ua6f3Ug/1PR87Vh4hinlIZZvAG0swqGZc_QJ1WMkXi0kCb0HJdMVU-EdrfAzI78Ggq2Tct6ywZwXKY_oRxo5ttvxmF34F3FRtRrz--FDWzJApLvNQUnoaffwxGziYjZ0QzyEv4uMKmHcX6UgID-95aiCg4pJJA/3DZg9yTmIyEfSViAtkSzj1Gu7Y9sGnLWAeWkvTV2MfI),,[image] ([pdf](zotero://open-pdf/library/items/Y6BGLV9Y?page=33&annotation=3AQ8WBEU))  ,,"Temperature, Precipitation",,d X=\alpha d T^{2}+\beta d T+\gamma d P,Non,
Extreme events,3.1,GRACE,"Global mean temperature , Rate of change in precipitation ",Real capital,,grace.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/m5QyOryfgkvS7r6Ua6f3Ug/1PR87Vh4hinlIZZvAG0swqGZc_QJ1WMkXi0kCb0HJdMVU-EdrfAzI78Ggq2Tct6ywZwXKY_oRxo5ttvxmF34F3FRtRrz--FDWzJApLvNQUnoaffwxGziYjZ0QzyEv4uMKmHcX6UgID-95aiCg4pJJA/3DZg9yTmIyEfSViAtkSzj1Gu7Y9sGnLWAeWkvTV2MfI),,[image] ([pdf](zotero://open-pdf/library/items/Y6BGLV9Y?page=33&annotation=3AQ8WBEU))  ,,"Temperature, Precipitation",,d X=\alpha d T^{2}+\beta d T+\gamma d P,Non,
Sea-level rise,3.1,GRACE,"Global mean temperature , Rate of change in precipitation ",Real capital,,grace.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/m5QyOryfgkvS7r6Ua6f3Ug/1PR87Vh4hinlIZZvAG0swqGZc_QJ1WMkXi0kCb0HJdMVU-EdrfAzI78Ggq2Tct6ywZwXKY_oRxo5ttvxmF34F3FRtRrz--FDWzJApLvNQUnoaffwxGziYjZ0QzyEv4uMKmHcX6UgID-95aiCg4pJJA/3DZg9yTmIyEfSViAtkSzj1Gu7Y9sGnLWAeWkvTV2MfI),,[image] ([pdf](zotero://open-pdf/library/items/Y6BGLV9Y?page=33&annotation=3AQ8WBEU))  ,,"Temperature, Precipitation",,d X=\alpha d T^{2}+\beta d T+\gamma d P,Non,
Health,3.1,GRACE,"Global mean temperature , Rate of change in precipitation ",Labour,,grace.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/m5QyOryfgkvS7r6Ua6f3Ug/1PR87Vh4hinlIZZvAG0swqGZc_QJ1WMkXi0kCb0HJdMVU-EdrfAzI78Ggq2Tct6ywZwXKY_oRxo5ttvxmF34F3FRtRrz--FDWzJApLvNQUnoaffwxGziYjZ0QzyEv4uMKmHcX6UgID-95aiCg4pJJA/3DZg9yTmIyEfSViAtkSzj1Gu7Y9sGnLWAeWkvTV2MfI),,[image] ([pdf](zotero://open-pdf/library/items/Y6BGLV9Y?page=33&annotation=3AQ8WBEU))  ,,"Temperature, Precipitation",,d X=\alpha d T^{2}+\beta d T+\gamma d P,Non,
Dice-like damage,,WITNESS,Global mean temperature , Climate damage fraction of gross output ,,,,,,Temperature,GDP,,Oui,
Tipping point damage,,WITNESS,Global mean temperature , Abatement cost fraction of gross output ,,,,,,Temperature,,,Oui,
Climate shock,A.128,DSK,"Beta 1,Beta 2",Propbability of occurence of a shock,,128.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/iZ0p8SUKHA6IgiMXVpOMtg/HN-9Bdn3FBwp7V2IDnbFnLdmcBiHHxw_B0ctAGVMsReqNtcyIkN4puNXCVReAQYhYHhXsPslCEhym81rE3t3EpTnR7ZoDEuoC1IzTBL_bUvYGHG4je4DdthUMuwc5eqzgbho5av9EldEQFAQ9kDUEQ/64BduADdMAM5OBpRWROrPiMZnrGCzfpP7TzbjKHxEUo),,[image] ([pdf](zotero://open-pdf/library/items/ICLXRB9D?page=45&annotation=GME49W2Z))  ,,,,"\text{SHOCKS}~t \sim Beta(\theta_{s1,t}, \theta_{s2,t})",En cours,
Beta 1 parameter,A.129,DSK,Global mean temperature ,Beta 1,,129.1.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/77HzaprA0EozsSxPr52o3Q/ntTdst-eYjopZ5v5i9daFrmAtkHz9ruBMPKDleRAMGc9ZuWTHmX1srGYa9TdtO3awBnVXG0gtgrdgpdUhPhDYc_RIAymvco8h1iex4VBr4z8g7pzdVsqC30Ff_Rnmz6LfavM-dicuCMPAoP_GiGaxQ/JdO7173T4yUnBaRwlMFIwRLK4FpNZ1qZAkLdIT3RKx4),,[image] ([pdf](zotero://open-pdf/library/items/ICLXRB9D?page=45&annotation=89EWJSMU))  ,,Temperature,,"\theta_{s1,t} = \theta_{s1,0} (1 + \ln \left( \frac{T_{empt-1}}{T_{empt0}} \right))^{\Upsilon_{s3}}",En cours,
Beta 2 parameter,A.129,DSK,Global mean temperature ,Beta 2,,129.2.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/fHSc01qokiHaNp2IPIYRqA/hCHtZP4EjOgivHgApcqIcpHbbjgK6aK5mngKrT8kV2oV9KhvvfnOW5KZneVA2QczFDXdr-F45fpW6n_WrdXe5BBEQM3yNPl0MwgoodquwshoEhdy7tYFv3aG0Zcmo5yN5vyub0ALjov2g7EyfVzQGA/DC2_lu2EgjXF61UTPIkT8ELAV4W1hva0wFTy82ORZE0),,[image] ([pdf](zotero://open-pdf/library/items/ICLXRB9D?page=45&annotation=ACBGAP2J))  ,,Temperature,,"\theta_{s2,t} = \theta_{s2,0} \left( \frac{T_{empt0}}{T_{empt-1}} \right)^{\Upsilon_{s4}} ",Non,
Damage function,55,DEFINE,Global mean temperature ,"Productivity,Consumption,Investment",,image.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/yEXoINsHtE8pssFpk8rpJQ/Zs_rqB1WYCxoeCYmpz2SzHT5HJKwSrxKZ18xotsi2hXbBh9dNZ_otP1otqaA9jOfExXAMY1BSJm4a3XwLJ6_prVpSFJSl5WefeIrkBDcTlGsxZaVE9HfyODWIbpLQ2BaI0kcV5OQUBA9IEJm9jWEbQ/Ag3DEOksZuQkKbYctASZnwQ1sVzonPjR8APKfY67Nh4),Inverse quadratic,[image] ([pdf](zotero://open-pdf/library/items/JXR43EK3?page=5&annotation=H2F25AW3))  ,,Temperature,,\Delta T = 1 - \frac{1}{1 + \eta_1 TAT + \eta_2 TAT^2 + \eta_3 TAT},Non,
Damage function,3.5,Giraud Stock-Flow model,Global mean temperature ,GDP in region r at time t ,,image.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/Lf8N4MUOHAoBj9NiChCXdQ/v_rPSgeuLoGVu_z71QmRRzP1pKpGB6M8hGQkWQ6-S_raog3lywUPDl-d4qRDyyhaJP7GQ8Qeljv-_-eQ8qYhQNDa7_8ESzAfuaR8TEECb46eZLtNtgPlqJiSNjquxmIMbz_fFRv_-WyTSmFZ_fINIw/6j6o6uro6kMK_YUweCCuNt7UzRJdEXQNttVSR7hCd-o),Inverse quadratic,[image] ([pdf](zotero://open-pdf/library/items/SNRKYS5R?page=13&annotation=97IVXR9J))  ,,Temperature,GDP,D = 1 - \frac{1}{1 + \pi_1 T + \pi_2 T^2} ,Non,
