Name,Equation number,Model - new table,Input variable,Output variables,Equation shape,Formule,Zotero reference,IPCC risks,Input categories,Output categories,Latex fragment,Vensim,Vensim name
Water cooling and run-off,3.1,GRACE,"Global mean temperature , Rate of change in precipitation ",Natural resources in thermal power,,grace.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/gkPHSeE_r35XfSBpLRS8pA/A0XE3Fpht7n_GfI4DItNNl4YZxaE13yZqJv1y5HNoq2spbY8ev6kMJUc4s6V6ISpc82nCObZktEGjAwszGzgRT5gtVHbhpNp30h9tEH1svazvsmVvR0jA4WghRZu0Z82tQ2455X0kPhi-uTXQ0_nBA/dcX74s0q55hlAN5Jq0ZgY62JszVPj0PKv_ONFDUO-20),[image] ([pdf](zotero://open-pdf/library/items/Y6BGLV9Y?page=33&annotation=3AQ8WBEU))  ,,"Temperature, Precipitation",,d X=\alpha d T^{2}+\beta d T+\gamma d P,Non,
Run-off,3.1,GRACE,"Global mean temperature , Rate of change in precipitation ",Natural resources in hydro power,,grace.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/gkPHSeE_r35XfSBpLRS8pA/A0XE3Fpht7n_GfI4DItNNl4YZxaE13yZqJv1y5HNoq2spbY8ev6kMJUc4s6V6ISpc82nCObZktEGjAwszGzgRT5gtVHbhpNp30h9tEH1svazvsmVvR0jA4WghRZu0Z82tQ2455X0kPhi-uTXQ0_nBA/dcX74s0q55hlAN5Jq0ZgY62JszVPj0PKv_ONFDUO-20),[image] ([pdf](zotero://open-pdf/library/items/Y6BGLV9Y?page=33&annotation=3AQ8WBEU))  ,,"Temperature, Precipitation",,d X=\alpha d T^{2}+\beta d T+\gamma d P,Non,
Energy demand,3.1,GRACE,"Global mean temperature , Rate of change in precipitation ",Energy demand,,grace.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/gkPHSeE_r35XfSBpLRS8pA/A0XE3Fpht7n_GfI4DItNNl4YZxaE13yZqJv1y5HNoq2spbY8ev6kMJUc4s6V6ISpc82nCObZktEGjAwszGzgRT5gtVHbhpNp30h9tEH1svazvsmVvR0jA4WghRZu0Z82tQ2455X0kPhi-uTXQ0_nBA/dcX74s0q55hlAN5Jq0ZgY62JszVPj0PKv_ONFDUO-20),[image] ([pdf](zotero://open-pdf/library/items/Y6BGLV9Y?page=33&annotation=3AQ8WBEU))  ,,"Temperature, Precipitation",,d X=\alpha d T^{2}+\beta d T+\gamma d P,Non,
Tourism,3.1,GRACE,"Global mean temperature , Rate of change in precipitation ",Final demand for transport and services,,grace.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/gkPHSeE_r35XfSBpLRS8pA/A0XE3Fpht7n_GfI4DItNNl4YZxaE13yZqJv1y5HNoq2spbY8ev6kMJUc4s6V6ISpc82nCObZktEGjAwszGzgRT5gtVHbhpNp30h9tEH1svazvsmVvR0jA4WghRZu0Z82tQ2455X0kPhi-uTXQ0_nBA/dcX74s0q55hlAN5Jq0ZgY62JszVPj0PKv_ONFDUO-20),[image] ([pdf](zotero://open-pdf/library/items/Y6BGLV9Y?page=33&annotation=3AQ8WBEU))  ,,"Temperature, Precipitation",,d X=\alpha d T^{2}+\beta d T+\gamma d P,Non,
Extreme events,3.1,GRACE,"Global mean temperature , Rate of change in precipitation ",Real capital,,grace.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/gkPHSeE_r35XfSBpLRS8pA/A0XE3Fpht7n_GfI4DItNNl4YZxaE13yZqJv1y5HNoq2spbY8ev6kMJUc4s6V6ISpc82nCObZktEGjAwszGzgRT5gtVHbhpNp30h9tEH1svazvsmVvR0jA4WghRZu0Z82tQ2455X0kPhi-uTXQ0_nBA/dcX74s0q55hlAN5Jq0ZgY62JszVPj0PKv_ONFDUO-20),[image] ([pdf](zotero://open-pdf/library/items/Y6BGLV9Y?page=33&annotation=3AQ8WBEU))  ,,"Temperature, Precipitation",,d X=\alpha d T^{2}+\beta d T+\gamma d P,Non,
Sea-level rise,3.1,GRACE,"Global mean temperature , Rate of change in precipitation ",Real capital,,grace.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/gkPHSeE_r35XfSBpLRS8pA/A0XE3Fpht7n_GfI4DItNNl4YZxaE13yZqJv1y5HNoq2spbY8ev6kMJUc4s6V6ISpc82nCObZktEGjAwszGzgRT5gtVHbhpNp30h9tEH1svazvsmVvR0jA4WghRZu0Z82tQ2455X0kPhi-uTXQ0_nBA/dcX74s0q55hlAN5Jq0ZgY62JszVPj0PKv_ONFDUO-20),[image] ([pdf](zotero://open-pdf/library/items/Y6BGLV9Y?page=33&annotation=3AQ8WBEU))  ,,"Temperature, Precipitation",,d X=\alpha d T^{2}+\beta d T+\gamma d P,Non,
Health,3.1,GRACE,"Global mean temperature , Rate of change in precipitation ",Labour,,grace.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/gkPHSeE_r35XfSBpLRS8pA/A0XE3Fpht7n_GfI4DItNNl4YZxaE13yZqJv1y5HNoq2spbY8ev6kMJUc4s6V6ISpc82nCObZktEGjAwszGzgRT5gtVHbhpNp30h9tEH1svazvsmVvR0jA4WghRZu0Z82tQ2455X0kPhi-uTXQ0_nBA/dcX74s0q55hlAN5Jq0ZgY62JszVPj0PKv_ONFDUO-20),[image] ([pdf](zotero://open-pdf/library/items/Y6BGLV9Y?page=33&annotation=3AQ8WBEU))  ,,"Temperature, Precipitation",,d X=\alpha d T^{2}+\beta d T+\gamma d P,Non,
Dice-like damage,,WITNESS,Global mean temperature , Climate damage fraction of gross output ,,,,,Temperature,GDP,,Oui,
Tipping point damage,,WITNESS,Global mean temperature , Abatement cost fraction of gross output ,,,,,Temperature,,,Oui,
Climate shock,A.128,DSK,"Beta 1,Beta 2",Propbability of occurence of a shock,,128.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/Lu5MXe8Dxp_Jfh_5tE2JTQ/SG5PrAQkx8TGTaukkey4PIHTDt5rHlsuGHXjnaG80WAAs_XvBL6PDkTvfg-VD_lPjU5QqgzOTKWTqgr02sIzbGNbV1c-h_B6NwTnBUDH6rIEein8PPz1Sb7CIlJmZz19Td5WlATaXhDMEjkIIqKlrQ/JUduMondoJVmdYSM7dj_wZM_DG3q-7-r2XUrUNNaovc),[image] ([pdf](zotero://open-pdf/library/items/ICLXRB9D?page=45&annotation=GME49W2Z))  ,,,,"\text{SHOCKS}~t \sim Beta(\theta_{s1,t}, \theta_{s2,t})",En cours,
Beta 1 parameter,A.129,DSK,Global mean temperature ,Beta 1,,129.1.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/-X57bkXTz_wtcR4sLioJfw/nmwNFLQfbcOMLz5WDMT3Sfx356Q7QROvH0zKzRhGO6nlZL6O_BdCRssxzR-hGA5L-912Q6V2B5JEhLw-3qnrsl6Ya7ZbkaAkDeq8luUJK4TM53wZKo_5RNMo8GeFXBx1V8GNvyBEnz3vlq8ZZp21Rg/2pbDHB9iPpcCwbEIyia230wqoXOOAKhMyNsR1s9mpWA),[image] ([pdf](zotero://open-pdf/library/items/ICLXRB9D?page=45&annotation=89EWJSMU))  ,,Temperature,,"\theta_{s1,t} = \theta_{s1,0} (1 + \ln \left( \frac{T_{empt-1}}{T_{empt0}} \right))^{\Upsilon_{s3}}",En cours,
Beta 2 parameter,A.129,DSK,Global mean temperature ,Beta 2,,129.2.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/riQF0-POf35C46GPN7eIeA/U6630-HUYZPgX4uXeEibT8eYaIKw3l18NDUwcuXpUkeaHyx-UY8QYKC4vCXSHTn4h3VhZtZFI9thn-HcQAhG4e_xGKjOVqS06Tbvsmnxn53eS7YccDBGSjGFoL8YqEylkSOMuir8x0DHMSduZMNovA/V2QaQCdRxDBRHVtu_VjNEYa47JLRBpQJemF3CNsYXz0),[image] ([pdf](zotero://open-pdf/library/items/ICLXRB9D?page=45&annotation=ACBGAP2J))  ,,Temperature,,"\theta_{s2,t} = \theta_{s2,0} \left( \frac{T_{empt0}}{T_{empt-1}} \right)^{\Upsilon_{s4}} ",Non,
Damage function,55,DEFINE,Global mean temperature ,"Productivity,Consumption,Investment",,image.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/6BJ4Ide0rqCJTy5VgJfjqg/8uIvkC6eUrAph5ddDxm6JZaqLMBlaOUxhILap6AaIBEhqxyohwYWVXLe22SxNP3fIWSBcjF-C5p62YRomyxjV8Saq0Rjl8qQu7vunaZXgeHwMMzLUJxKjo1CGGuHg6coIPUAOdinzHmPbIbMk0pP6w/tNnI2LwpWviom12VdYwykBvBOzm3eOct99v7nGn1LJs),[image] ([pdf](zotero://open-pdf/library/items/JXR43EK3?page=5&annotation=H2F25AW3))  ,,Temperature,,\Delta T = 1 - \frac{1}{1 + \eta_1 TAT + \eta_2 TAT^2 + \eta_3 TAT},Non,
Damage function,3.5,Giraud Stock-Flow model,Global mean temperature ,GDP in region r at time t ,,image.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/Pr4VywYFleHWUHzpCLpBaA/lGEQVBgjWp37p0a4Pg5NdE3VU2XVBOzolnRBFNGGAjB5HvRI3G4W6kR4IwlZ9Dmrh_T42WKZ4aYR5vKtL3iZlgoSpQXkd8ZyDLIZt-ox6TIeGlEiXJSnuuTYhRqR3gatpfya4Gnq9-IRxg2Gkt0-2w/24x10DRhQG8pRVH7gk0NDV0X7sbbHtIIn021dyhbOC0),[image] ([pdf](zotero://open-pdf/library/items/SNRKYS5R?page=13&annotation=97IVXR9J))  ,,Temperature,GDP,D = 1 - \frac{1}{1 + \pi_1 T + \pi_2 T^2} ,Non,
