Name,Equation number,Model - new table,Input variable,Output variables,Equation shape,Formule,Equation form,Zotero reference,IPCC risks,Input categories,Output categories,Latex fragment,Vensim,Vensim name
Water cooling and run-off,3.1,GRACE,"Global mean temperature , Rate of change in precipitation ",Natural resources in thermal power,,grace.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/CvKIYn5SJ4dWdBVo2xU2Jg/pv5n9TxOyqjJtQyOm0VJpJ5tQA69S2xXDML1ItEV4ibun7nNyvMysH0oXf2Ondwvc_vO_0wtIVQVxfGiFotkbACtrz96zvXjAh0KfL5KRODRMJhAdrCP_Y7GfsK7EnZVosPdUofBHpeCwUms2Oqh9Q/7QV8slyYjNgUIu_q9TvyrTw4aus-pqFDOSCclEXBz8w),,[image] ([pdf](zotero://open-pdf/library/items/Y6BGLV9Y?page=33&annotation=3AQ8WBEU))  ,,"Temperature, Precipitation",,d X=\alpha d T^{2}+\beta d T+\gamma d P,Non,
Run-off,3.1,GRACE,"Global mean temperature , Rate of change in precipitation ",Natural resources in hydro power,,grace.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/CvKIYn5SJ4dWdBVo2xU2Jg/pv5n9TxOyqjJtQyOm0VJpJ5tQA69S2xXDML1ItEV4ibun7nNyvMysH0oXf2Ondwvc_vO_0wtIVQVxfGiFotkbACtrz96zvXjAh0KfL5KRODRMJhAdrCP_Y7GfsK7EnZVosPdUofBHpeCwUms2Oqh9Q/7QV8slyYjNgUIu_q9TvyrTw4aus-pqFDOSCclEXBz8w),,[image] ([pdf](zotero://open-pdf/library/items/Y6BGLV9Y?page=33&annotation=3AQ8WBEU))  ,,"Temperature, Precipitation",,d X=\alpha d T^{2}+\beta d T+\gamma d P,Non,
Energy demand,3.1,GRACE,"Global mean temperature , Rate of change in precipitation ",Energy demand,,grace.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/CvKIYn5SJ4dWdBVo2xU2Jg/pv5n9TxOyqjJtQyOm0VJpJ5tQA69S2xXDML1ItEV4ibun7nNyvMysH0oXf2Ondwvc_vO_0wtIVQVxfGiFotkbACtrz96zvXjAh0KfL5KRODRMJhAdrCP_Y7GfsK7EnZVosPdUofBHpeCwUms2Oqh9Q/7QV8slyYjNgUIu_q9TvyrTw4aus-pqFDOSCclEXBz8w),,[image] ([pdf](zotero://open-pdf/library/items/Y6BGLV9Y?page=33&annotation=3AQ8WBEU))  ,,"Temperature, Precipitation",,d X=\alpha d T^{2}+\beta d T+\gamma d P,Non,
Tourism,3.1,GRACE,"Global mean temperature , Rate of change in precipitation ",Final demand for transport and services,,grace.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/CvKIYn5SJ4dWdBVo2xU2Jg/pv5n9TxOyqjJtQyOm0VJpJ5tQA69S2xXDML1ItEV4ibun7nNyvMysH0oXf2Ondwvc_vO_0wtIVQVxfGiFotkbACtrz96zvXjAh0KfL5KRODRMJhAdrCP_Y7GfsK7EnZVosPdUofBHpeCwUms2Oqh9Q/7QV8slyYjNgUIu_q9TvyrTw4aus-pqFDOSCclEXBz8w),,[image] ([pdf](zotero://open-pdf/library/items/Y6BGLV9Y?page=33&annotation=3AQ8WBEU))  ,,"Temperature, Precipitation",,d X=\alpha d T^{2}+\beta d T+\gamma d P,Non,
Extreme events,3.1,GRACE,"Global mean temperature , Rate of change in precipitation ",Real capital,,grace.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/CvKIYn5SJ4dWdBVo2xU2Jg/pv5n9TxOyqjJtQyOm0VJpJ5tQA69S2xXDML1ItEV4ibun7nNyvMysH0oXf2Ondwvc_vO_0wtIVQVxfGiFotkbACtrz96zvXjAh0KfL5KRODRMJhAdrCP_Y7GfsK7EnZVosPdUofBHpeCwUms2Oqh9Q/7QV8slyYjNgUIu_q9TvyrTw4aus-pqFDOSCclEXBz8w),,[image] ([pdf](zotero://open-pdf/library/items/Y6BGLV9Y?page=33&annotation=3AQ8WBEU))  ,,"Temperature, Precipitation",,d X=\alpha d T^{2}+\beta d T+\gamma d P,Non,
Sea-level rise,3.1,GRACE,"Global mean temperature , Rate of change in precipitation ",Real capital,,grace.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/CvKIYn5SJ4dWdBVo2xU2Jg/pv5n9TxOyqjJtQyOm0VJpJ5tQA69S2xXDML1ItEV4ibun7nNyvMysH0oXf2Ondwvc_vO_0wtIVQVxfGiFotkbACtrz96zvXjAh0KfL5KRODRMJhAdrCP_Y7GfsK7EnZVosPdUofBHpeCwUms2Oqh9Q/7QV8slyYjNgUIu_q9TvyrTw4aus-pqFDOSCclEXBz8w),,[image] ([pdf](zotero://open-pdf/library/items/Y6BGLV9Y?page=33&annotation=3AQ8WBEU))  ,,"Temperature, Precipitation",,d X=\alpha d T^{2}+\beta d T+\gamma d P,Non,
Health,3.1,GRACE,"Global mean temperature , Rate of change in precipitation ",Labour,,grace.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/CvKIYn5SJ4dWdBVo2xU2Jg/pv5n9TxOyqjJtQyOm0VJpJ5tQA69S2xXDML1ItEV4ibun7nNyvMysH0oXf2Ondwvc_vO_0wtIVQVxfGiFotkbACtrz96zvXjAh0KfL5KRODRMJhAdrCP_Y7GfsK7EnZVosPdUofBHpeCwUms2Oqh9Q/7QV8slyYjNgUIu_q9TvyrTw4aus-pqFDOSCclEXBz8w),,[image] ([pdf](zotero://open-pdf/library/items/Y6BGLV9Y?page=33&annotation=3AQ8WBEU))  ,,"Temperature, Precipitation",,d X=\alpha d T^{2}+\beta d T+\gamma d P,Non,
Dice-like damage,,WITNESS,Global mean temperature , Climate damage fraction of gross output ,,,,,,Temperature,GDP,,Oui,
Tipping point damage,,WITNESS,Global mean temperature , Abatement cost fraction of gross output ,,,,,,Temperature,,,Oui,
Climate shock,A.128,DSK,"Beta 1,Beta 2",Propbability of occurence of a shock,,128.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/UkvNX3s-lkq5KOTeDv43Lg/dHk2bbk3-bnGpUJXufVrSdm-FaSMX1yZSvomOuiA7FNl4WYWmo7uN6jAiZvjzRpd3K63GkCTXOoWVu27JsuNLNug3LL_G7TNTSIjQBkL93FJWQh8Ermj8mN6aOYGaB8rQaNm4QryFXNqI-FXbv_Zcg/jri8fejRCI_O1us6P7KaLe1UqORwlPtz83d7HGa7b_0),,[image] ([pdf](zotero://open-pdf/library/items/ICLXRB9D?page=45&annotation=GME49W2Z))  ,,,,"\text{SHOCKS}~t \sim Beta(\theta_{s1,t}, \theta_{s2,t})",En cours,
Beta 1 parameter,A.129,DSK,Global mean temperature ,Beta 1,,129.1.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/0viecSo0H7pTYQhCZtA_Dg/iAuHpR51ojGuwWGVlfr5-1WgIKvV9cxrlsSrc1o2eTv4P9s2_S48twDbhq4OBm2eG597IkyfVsBFsniAXuXfJ6VSkga-H-hGKUc9Zx8PwXjRbIT9HX8c5PTiPURvFmONKzamg3WFIqlPghkorMqw7w/Tc8kqx-foaXBwCx0Zuf2HyerVP4x62Ndy462MQUeF9s),,[image] ([pdf](zotero://open-pdf/library/items/ICLXRB9D?page=45&annotation=89EWJSMU))  ,,Temperature,,"\theta_{s1,t} = \theta_{s1,0} (1 + \ln \left( \frac{T_{empt-1}}{T_{empt0}} \right))^{\Upsilon_{s3}}",En cours,
Beta 2 parameter,A.129,DSK,Global mean temperature ,Beta 2,,129.2.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/TVKQt2kPxqzDZi5rXWCMMQ/KldNbXYHOh_e1Rg_ApX-BZzY6yVYEvdpyB-Q8Yx1d2qGR87jBWLTWhOIASzec-fQ6BYFQMviEwvv1GkRLhxePZydvaJfFUzbftSKr_nk-bvhXvP_id4543ntFG0F_dueIU0H08JWRx-X7WsevBVuYA/4Et7uy8nMBy715Z9WsI7DdgMRsT8jGL_HaGRunbDTM4),,[image] ([pdf](zotero://open-pdf/library/items/ICLXRB9D?page=45&annotation=ACBGAP2J))  ,,Temperature,,"\theta_{s2,t} = \theta_{s2,0} \left( \frac{T_{empt0}}{T_{empt-1}} \right)^{\Upsilon_{s4}} ",Non,
Damage function,55,DEFINE,Global mean temperature ,"Productivity,Consumption,Investment",,image.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/NWhKrMt6dsytRgkZnkQrfw/p0R--TmAHQrmP-ZNBO3yG0DNeIbLqoQw1GYTNGZO8-hFgLQjurWuamP4SlD6delT2HfJS8n-2-oNxtSDBOd9GIz9nuJyRYJ3cvpxqshq1eLZYxdybzxKuajbeYggBF2Oh0ttawwcWT2UZW5HBgvQvw/fnrpuAIjdEcB0QvDSCOXmlwhUDChFN6lFcLFbeFZaqA),Inverse quadratic,[image] ([pdf](zotero://open-pdf/library/items/JXR43EK3?page=5&annotation=H2F25AW3))  ,,Temperature,,\Delta T = 1 - \frac{1}{1 + \eta_1 TAT + \eta_2 TAT^2 + \eta_3 TAT},Non,
Damage function,3.5,Giraud Stock-Flow model,Global mean temperature ,GDP in region r at time t ,,image.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/KWfncpwyvZksDAZ_vm12_w/r85vZsUI--on2jAcKCNkCbEUlrlyXzTQzGfBCBikOoxNmQU9Ryif-vLZ_vXH7QwG5DvsnW9MhXF0FSptdZUMYF7-2tgg07ftE0eH9QBb4qYugG8mZYFFiMJPHEa0m8prkLkLmzfhpR3s3zL5E0brkA/tquqL85Qnw8Lde_uB4gQe7Bin8pbBZx0zBghjhlcmbA),Inverse quadratic,[image] ([pdf](zotero://open-pdf/library/items/SNRKYS5R?page=13&annotation=97IVXR9J))  ,,Temperature,GDP,D = 1 - \frac{1}{1 + \pi_1 T + \pi_2 T^2} ,Non,
Total damage,TOT,FUND v.3.8,,,,,Elasticity,,,,,,Non,
Total damage,TOT,DICE 2023,,,,,Quadratic,,,,,,Non,
Total damage,TOT,WITNESS,,,,,Probabilistic,,,,,,Non,
Total damage,TOT,Define,,,,,Inverse quadratic,,,,,,Non,
Total damage,TOT,DSK,,,,,Inverse cubic,,,,,,Non,
