,Real Name,Py Name,Subscripts,Units,Limits,Type,Subtype,Comment,Model,Equation,isEquation,Interest
1681,LIMITS TO SOLAR LAND EXPANSION EROI MIN,limits_to_solar_land_expansion_eroi_min,"['REGIONS 9 I', 'LANDS I']",DMNL,"(nan, nan)",Auxiliary,Normal,Share of are of each land use in 2015 that can be used for solar.,,,,False
1682,LIMITS TO SOLAR LAND EXPANSION EROI MIN 0,limits_to_solar_land_expansion_eroi_min_0,"['REGIONS 9 I', 'LANDS I']",DMNL,"(nan, nan)",Constant,External,Share of are of each land use in 2015 that can be used for solar.,,,,False
1683,LIMITS TO SOLAR LAND EXPANSION EROI MIN 10,limits_to_solar_land_expansion_eroi_min_10,"['REGIONS 9 I', 'LANDS I']",DMNL,"(nan, nan)",Constant,External,Share of are of each land use in 2015 that can be used for solar.,,,,False
1684,LIMITS TO SOLAR LAND EXPANSION EROI MIN 2,limits_to_solar_land_expansion_eroi_min_2,"['REGIONS 9 I', 'LANDS I']",DMNL,"(nan, nan)",Constant,External,Share of are of each land use in 2015 that can be used for solar.,,,,False
1685,LIMITS TO SOLAR LAND EXPANSION EROI MIN 3,limits_to_solar_land_expansion_eroi_min_3,"['REGIONS 9 I', 'LANDS I']",DMNL,"(nan, nan)",Constant,External,Share of are of each land use in 2015 that can be used for solar.,,,,False
1686,LIMITS TO SOLAR LAND EXPANSION EROI MIN 5,limits_to_solar_land_expansion_eroi_min_5,"['REGIONS 9 I', 'LANDS I']",DMNL,"(nan, nan)",Constant,External,Share of are of each land use in 2015 that can be used for solar.,,,,False
1687,LIMITS TO SOLAR LAND EXPANSION EROI MIN 8,limits_to_solar_land_expansion_eroi_min_8,"['REGIONS 9 I', 'LANDS I']",DMNL,"(nan, nan)",Constant,External,Share of are of each land use in 2015 that can be used for solar.,,,,False
1688,LN of the coal spare cap,ln_of_the_coal_spare_cap,,DMNL,"(nan, nan)",Auxiliary,Normal,"LN of the coal spare cap. Intermediate step for the Coal price calculation. Calculation is based on a LN function which describes the relation between Coal demand per year and Coal available without the spare capacity. ""Coal ln (1-Q/Q available)""",,,,False
1689,LOCKDOWN HOUSEHOLDS TRANSPORT DEMAND VARIATION SP,lockdown_households_transport_demand_variation_sp,,DMNL,"(nan, nan)",Constant,External,Effect of lockdown on passenger transport.,,,,False
1690,LOGIT MODEL COEFFICIENT OR EXPONENT,logit_model_coefficient_or_exponent,,DMNL,"(nan, nan)",Constant,External,"Depending on which logit model is chosen: - Logit model: this parameter represents the logit coefficient. - Modified logit model: this parameter represents the logit exponent. Positive values (given that we want to give preference to highest values of the choice indicator: ESOIxMAB (for storage) and EROI*MAB (for generation). Typical values: 3, 6, 9, 12. cf. https://jgcri.github.io/gcam-doc/choice.html",,,,False
1691,LOSS FACTOR OF LAND PRODUCTS,loss_factor_of_land_products,['LAND PRODUCTS I'],DMNL,"(nan, nan)",Constant,External,Factor of losses in food production,,,,False
1692,LOWER LAYER VOLUME VU,lower_layer_volume_vu,['LAYERS I'],m*m*m,"(nan, nan)",Stateful,Initial,Water equivalent volume of the deep ocean by layer.,,,,False
1693,LUE solar PV,lue_solar_pv,['REGIONS 9 I'],MW/km2,"(nan, nan)",Auxiliary,Normal,Land-use efficiency of solar PV for all subtechnologies (weighted-average).,,,,False
1694,LUE solar PV by technology,lue_solar_pv_by_technology,"['REGIONS 36 I', 'PROTRA PP SOLAR PV SUBTECHNOLOGIES I']",MW/km2,"(nan, nan)",Auxiliary,Normal,Dynamic land-use efficiency of solar PV open-space.,,,,False
1695,LUE solar PV by technology per ha,lue_solar_pv_by_technology_per_ha,"['REGIONS 36 I', 'PROTRA PP SOLAR PV SUBTECHNOLOGIES I']",ha/MW,"(nan, nan)",Auxiliary,Normal,Land use efficiency of solar PV by technology in ha/MW.,,,,False
1696,Laherrere 2018 estimate per year,laherrere_2018_estimate_per_year,,bbl/Year,"(nan, nan)",Auxiliary,Normal,,,,,False
1697,Laherrere CURVE 2018 total oil,laherrere_curve_2018_total_oil,,Mbbl/Year,"(nan, nan)",Auxiliary,with Lookup,Laherrrere total Oil prediction 2018,,,,False
1698,Laherrere TEST,laherrere_test,,bbl/Year,"(nan, nan)",Auxiliary,Normal,,,,,False
1699,Loss during separtion and proccessing,loss_during_separtion_and_proccessing,,Mt/Year,"(nan, nan)",Auxiliary,Normal,Copper losses during separation and proccessing.,,,,False
1700,Low range FEC good standard of living,low_range_fec_good_standard_of_living,,GJ/(Year*people),"(nan, nan)",Constant,External,"30 GJ/yr per capita: low range FEC good standard of living (Lamb & Steinberger (2017), i.e. above 70 years life expectancy, full access to water, sanitation, electricity and other basic infrastructures.",,,,False
1701,MACHINING RATE EV BATTERIES,machining_rate_ev_batteries,,DMNL,"(nan, nan)",Constant,External,Ratio that translates the energy costs of manufacturing electric EVs batteries (15%),,,,False
1702,MACHINING RATE PV,machining_rate_pv,,DMNL,"(nan, nan)",Constant,External,Machining energy rate for PV technology take from Carlos de Castro et al (2020) paper,,,,False
1703,MANAGEMENT STOCK CHANGE FACTOR DEFAULT CROPLAND,management_stock_change_factor_default_cropland,['REGIONS 9 I'],DMNL,"(nan, nan)",Constant,External,"Factors for ""Cbefore"". Soil database (regionally average C stocks) corresponds to Cbef (default values) assuming full tillage (FMG), Input is medium (FI) and long-term cultivated (FLU).",,,,False
1704,MANAGEMENT STOCK CHANGE FACTOR DEFAULT GRASSLAND,management_stock_change_factor_default_grassland,['REGIONS 9 I'],DMNL,"(nan, nan)",Constant,External,"Factors for ""Cbefore"". Soil database (regionally average C stocks) corresponds to Cbef (default values) For grasslands (Plevin et al 2014) ,assume a value of 1 for all three: LU (following the IPCC recommendation for all grassland); MG, assuming the land is nominally managed (non-degraded); and I, assuming medium inputs .",,,,False
1705,MARK UP DEFAULT,mark_up_default,"['REGIONS 35 I', 'SECTORS I']",DMNL,"(nan, nan)",Constant,External,Producers' mark-up: share of profits over total price.,,,,False
1706,MARK UP SP,mark_up_sp,"['REGIONS 35 I', 'SECTORS I']",DMNL,"(nan, nan)",Constant,External,Producers' mark-up: share of profits over total price.,,,,False
1707,MASK CROPS,mask_crops,['LAND PRODUCTS I'],DMNL,"(nan, nan)",Constant,Normal,"=1 if land product is a crop , 0 for wood and residues and for other crops because its demand is not given by the diets module",,,,False
1708,MASK ESSENTIAL FOODS,mask_essential_foods,['LAND PRODUCTS I'],DMNL,"(nan, nan)",Constant,Normal,Variable to select the land products that influence food shortage,,,,False
1709,MATERIAL AUX INTENSITY PV LAND,material_aux_intensity_pv_land,['MATERIALS I'],kg/MW,"(nan, nan)",Constant,External,Building materials requirements per MW of solar ground technology. Take from De Castro et al 2020.,,,,False
1710,MATERIAL INTENSITY CATENARY RAILWAY,material_intensity_catenary_railway,['MATERIALS I'],kg/km,"(nan, nan)",Constant,External,"Materials requeriment per km of track. - It should be noted that the catenary uses copper-PTE alloys and not pure copper, but these alloys have a copper weight of more than 99.90% (Aurubis, «Cu-ETP Material datasheet», 2021.). - ADIF's (Spanish railway infrastructure manager) CA-220 catenary has been assumed as electrification due to its versatility and its capacity to be used in different situations and conditions. (ADIF, «Memoria descriptiva CA-220», ene. 2012.)",,,,False
1711,MATERIAL INTENSITY EV CHARGERS,material_intensity_ev_chargers,"['MATERIALS I', 'EV CHARGERS I']",kg/charger,"(nan, nan)",Auxiliary,Normal,Materials requirements of all types of EV charger .,,,,False
1712,MATERIAL INTENSITY EV GRID TO CHARGER HIGH VOLTAGE,material_intensity_ev_grid_to_charger_high_voltage,['MATERIALS I'],kg/m,"(nan, nan)",Constant,External,"Materials requirements per EV charger grid. -Medium and high voltage grids: Data from Bumby et al(2010), and HidroCantábrico distribución electrica S.A.U(2011) have been taken as reference. A two-pipe pipe of 160 mm diameter inserted in a concrete cube with 45 cm of side and about 5 cm of thickness, taken from the instructions of the reference HidroCantábrico distribusión electrica S.A.U., (Especificacion tecnica de las canalizaciones subterraneas de baja y media tension, 2011), has been chosen as a reference pipe. The concrete weight of this last reference has been compared with the weight of concrete from Bumby et al(2010) using this relation to apply it to the other materials.",,,,False
1713,MATERIAL INTENSITY EV GRID TO CHARGER LOW VOLTAGE,material_intensity_ev_grid_to_charger_low_voltage,['MATERIALS I'],kg/m,"(nan, nan)",Constant,External,"Materials requirements per EV charger grid. -Low voltage grids: Data estimated with formula 16 of Annex 2 of the Spanish Low Voltage Guide. (Ministerio de ciencia y tecnología, «Guia tecnica de aplicacion- Caidas de tensión, Anexo 2»).",,,,False
1714,MATERIAL INTENSITY EV GRID TO CHARGER LOWMEDIUM VOLTAGE,material_intensity_ev_grid_to_charger_lowmedium_voltage,['MATERIALS I'],kg/m,"(nan, nan)",Constant,External,"Materials requirements per EV charger grid. -Low-medium voltage grids: Data estimated with formula 16 of Annex 2 of the Spanish Low Voltage Guide. (Ministerio de ciencia y tecnología, «Guia tecnica de aplicacion- Caidas de tensión, Anexo 2»).",,,,False
1715,MATERIAL INTENSITY EV GRID TO CHARGER MEDIUM VOLTAGE,material_intensity_ev_grid_to_charger_medium_voltage,['MATERIALS I'],kg/m,"(nan, nan)",Constant,External,"Materials requirements per EV charger grid. -Medium and high voltage grids: Data from Bumby et al(2010), and HidroCantábrico distribución electrica S.A.U(2011) have been taken as reference. A two-pipe pipe of 160 mm diameter inserted in a concrete cube with 45 cm of side and about 5 cm of thickness, taken from the instructions of the reference HidroCantábrico distribusión electrica S.A.U., (Especificacion tecnica de las canalizaciones subterraneas de baja y media tension, 2011), has been chosen as a reference pipe. The concrete weight of this last reference has been compared with the weight of concrete from Bumby et al(2010) using this relation to apply it to the other materials.",,,,False
1716,MATERIAL INTENSITY EV HOME CHARGER,material_intensity_ev_home_charger,['MATERIALS I'],kg/charger,"(nan, nan)",Constant,External,"Materials requirements per EV charger. Hypotheses presented in order to obtain all necessary data: - All mineral intensity data have been obtained from Lucas et al,2012. The useful life has been obtained from Lucas et al, 2012.",,,,False
1717,MATERIAL INTENSITY EV NORMAL CHARGER,material_intensity_ev_normal_charger,['MATERIALS I'],kg/charger,"(nan, nan)",Constant,External,"Materials requirements per EV charger. Hypotheses presented in order to obtain all necessary data: - All mineral intensity data have been obtained from Lucas et al,2012.The useful life has been obtained from Lucas et al, 2012.",,,,False
1718,MATERIAL INTENSITY EV QUICK CHARGER,material_intensity_ev_quick_charger,['MATERIALS I'],kg/charger,"(nan, nan)",Constant,External,"Materials requirements per EV charger. Hypotheses presented in order to obtain all necessary data: - All mineral intensity data have been obtained from Lucas et al,2012 except for the copper of the fast charger (obtained from IDTechx, 2017) and the iron of this same charger (obtained by establishing the same ratio between the copper weight of Lucas et al, 2012 and IDTechEx (study, How Important are Electric Vehicles for Future Copper Demand, 2017), that is, taking a 21.05% reduction of material with respect to Lucas et al). The useful life has been obtained from Lucas et al, 2012.",,,,False
1719,MATERIAL INTENSITY GRIDS EV CHARGERS,material_intensity_grids_ev_chargers,"['MATERIALS I', 'EV CHARGERS I']",kg/m,"(nan, nan)",Auxiliary,Normal,Materials requirements of all types of EV charger grid.,,,,False
1720,MATERIAL INTENSITY NEW CAPACITY CSP,material_intensity_new_capacity_csp,['MATERIALS I'],kg/MW,"(nan, nan)",Constant,External,Materials requirements per unit of new installed capacity of solar CSP.,,,,False
1721,MATERIAL INTENSITY NEW CAPACITY CSP REGIONAL,material_intensity_new_capacity_csp_regional,"['REGIONS 9 I', 'MATERIALS I']",kg/MW,"(nan, nan)",Auxiliary,Normal,,,,,False
1722,MATERIAL INTENSITY NEW CAPACITY HVDCS,material_intensity_new_capacity_hvdcs,['MATERIALS I'],,"(nan, nan)",Constant,External,,,,,False
1723,MATERIAL INTENSITY NEW CAPACITY OVERGRID HIGH POWER,material_intensity_new_capacity_overgrid_high_power,['MATERIALS I'],,"(nan, nan)",Constant,External,,,,,False
1724,MATERIAL INTENSITY NEW CAPACITY OVERGRIDS,material_intensity_new_capacity_overgrids,['MATERIALS I'],kg/MW,"(nan, nan)",Auxiliary,Normal,Materials for overgrids (high power & HVDC) per new RES elc variable capacity.,,,,False
1725,MATERIAL INTENSITY NEW CAPACITY WIND OFFSHORE,material_intensity_new_capacity_wind_offshore,['MATERIALS I'],kg/MW,"(nan, nan)",Constant,External,Materials requirements per unit of new installed capacity of wind offshore.,,,,False
1726,MATERIAL INTENSITY NEW CAPACITY WIND OFFSHORE REGIONAL,material_intensity_new_capacity_wind_offshore_regional,"['REGIONS 9 I', 'MATERIALS I']",kg/MW,"(nan, nan)",Auxiliary,Normal,,,,,False
1727,MATERIAL INTENSITY NEW CAPACITY WIND ONSHORE,material_intensity_new_capacity_wind_onshore,['MATERIALS I'],kg/MW,"(nan, nan)",Constant,External,Materials requirements per unit of new installed capacity of wind onshore.,,,,False
1728,MATERIAL INTENSITY NEW CAPACITY WIND ONSHORE REGIONAL,material_intensity_new_capacity_wind_onshore_regional,"['REGIONS 9 I', 'MATERIALS I']",kg/MW,"(nan, nan)",Auxiliary,Normal,,,,,False
1729,MATERIAL INTENSITY OM CSP,material_intensity_om_csp,['MATERIALS I'],kg/(Year*MW),"(nan, nan)",Constant,External,Materials requirements for operation and maintenance per unit of new installed capacity of solar CSP.,,,,False
1730,MATERIAL INTENSITY OM CSP REGIONAL,material_intensity_om_csp_regional,"['REGIONS 9 I', 'MATERIALS I']",kg/(MW*Year),"(nan, nan)",Auxiliary,Normal,,,,,False
1731,MATERIAL INTENSITY OM WIND OFFSHORE,material_intensity_om_wind_offshore,['MATERIALS I'],kg/(Year*MW),"(nan, nan)",Constant,External,,,,,False
1732,MATERIAL INTENSITY OM WIND OFFSHORE REGIONAL,material_intensity_om_wind_offshore_regional,"['REGIONS 9 I', 'MATERIALS I']",kg/(MW*Year),"(nan, nan)",Auxiliary,Normal,,,,,False
1733,MATERIAL INTENSITY OM WIND ONSHORE,material_intensity_om_wind_onshore,['MATERIALS I'],kg/(Year*MW),"(nan, nan)",Constant,External,,,,,False
1734,MATERIAL INTENSITY OM WIND ONSHORE REGIONAL,material_intensity_om_wind_onshore_regional,"['REGIONS 9 I', 'MATERIALS I']",kg/(MW*Year),"(nan, nan)",Auxiliary,Normal,,,,,False
1735,MATERIAL INTENSITY PV INVERTER,material_intensity_pv_inverter,"['MATERIALS I', 'PROTRA PP SOLAR PV I']",kg/MW,"(nan, nan)",Constant,External,"Materials requirements per MW for inverter of solar PV. The material requirements of these systems as stated by (Tschümperlin et al., n.d.) have been extrapolated to obtain the requirements of a 1 MW inverter.",,,,False
1736,MATERIAL INTENSITY PV SUBTECHNOLOGY PANEL FRAME,material_intensity_pv_subtechnology_panel_frame,"['MATERIALS I', 'PROTRA PP SOLAR PV SUBTECHNOLOGIES I']",kg/m2,"(nan, nan)",Constant,External,"Materials requirements per m2 of new panel structures of solar C-SI mono PV technology. The material intensities of panel construction have been obtained from (Frischknecht et al., 2015) except for aluminium, titanium and vanadium. In the case of aluminium, the intensities from (Frischknecht et al., 2015) and (Gervais et al., 2021) have been added. Titanium and vanadium have been obtained from (de Castro and Capellán-Pérez, 2020).",,,,False
1737,MATERIAL INTENSITY PV TRANSFORMER LAND,material_intensity_pv_transformer_land,['MATERIALS I'],kg/MW,"(nan, nan)",Constant,External,"Materials requirements per MW for transformer of solar ground technology.A 1MW step-up transformer up to 24kV from Ormazabal (ORMAZABAL, 2022) has been chosen.",,,,False
1738,MATERIAL INTENSITY RATIO OM PV PANELS,material_intensity_ratio_om_pv_panels,,DMNL,"(nan, nan)",Constant,External,Ratio used to calculate the O&M materials demand of the PV panels. Taken from De Castro et al 2020.,,,,False
1739,MATERIAL REQUIREMENTS PV MOUNTING STRUCTURES BASELINE,material_requirements_pv_mounting_structures_baseline,"['MATERIALS I', 'PROTRA PP SOLAR PV I']",kg/m2,"(nan, nan)",Constant,External,"Materials requirements per m2 of panel of new mounting structures of solar PV technology. The construction requirements of the panel mounting structures have been obtained from (Frischknecht et al., 2015) except for the cement which has been obtained from (de Castro and Capellán-Pérez, 2020).",,,,False
1740,MATERIAL REQUIREMENTS PV WIRING BUILDING,material_requirements_pv_wiring_building,['MATERIALS I'],kg/m,"(nan, nan)",Constant,External,"Mineral requirements per metre for the wiring of a photovoltaic system in a building. Photovoltaic cables of 10mm2 have been considered for installations whose power is higher but whose purpose is also not to produce energy. The consideration of these sizes has been taken due to two fundamental factors. The first, the experience visualising the wiring that is usually used in these installations (Andreu Rico, 2018; José Alfonso Alonso Lorenzo, n.d.). The second, the calculation of the wiring sections using the ICT-18 voltage drop and heating criteria, which indicates that these sizes are suitable for most of these types of installations (Andreu Rico, 2018; José Alfonso Alonso Lorenzo, n.d.; Ministerio de ciencia y tecnología, 2003).",,,,False
1741,MATERIAL REQUIREMENTS PV WIRING HOUSE,material_requirements_pv_wiring_house,['MATERIALS I'],kg/m,"(nan, nan)",Constant,External,"Mineral requirements per metre for the wiring of a photovoltaic system in a house. Photovoltaic cables of 6 mm2 have been considered for smaller installations. The consideration of these sizes has been taken due to two fundamental factors. The first, the experience visualising the wiring that is usually used in these installations (Andreu Rico, 2018; José Alfonso Alonso Lorenzo, n.d.). The second, the calculation of the wiring sections using the ICT-18 voltage drop and heating criteria, which indicates that these sizes are suitable for most of these types of installations (Andreu Rico, 2018; José Alfonso Alonso Lorenzo, n.d.; Ministerio de ciencia y tecnología, 2003).",,,,False
1742,MATERIAL REQUIREMENTS PV WIRING LAND INVERTER TO TRANSFORMER,material_requirements_pv_wiring_land_inverter_to_transformer,['MATERIALS I'],kg/m,"(nan, nan)",Constant,External,"Mineral requirements per metre for the wiring of a photovoltaic ground system from the inverter to the transformer. With regard to the connection of the installation with the transmission grid (up to the transformer), the data of (Bumby et al., 2010, 2011) have been taken as a reference. A two-pipe pipe with a diameter of 160 mm inserted in a concrete cube with a side of 45 cm and a thickness of about 5 cm, taken from the instructions of the low and medium voltage guide (Ministry of Science and Technology, 2003), was chosen as the reference pipe. The weight of concrete from the latter reference has been compared with the weight of concrete from Bumby et al. (Bumby et al., 2010) using this ratio to apply to the other materials.",,,,False
1743,MATERIAL REQUIREMENTS PV WIRING LAND PANEL TO INVERTER,material_requirements_pv_wiring_land_panel_to_inverter,['MATERIALS I'],kg/m,"(nan, nan)",Constant,External,"Mineral requirements per metre for the wiring of a photovoltaic ground system from panel to the inverter. A 16 mm2 photovoltaic cable has been chosen to connect the panels and inverters of the electricity production installations (solar farms and solar parks). The consideration of these sizes has been taken due to two fundamental factors. The first, the experience visualising the wiring that is usually used in these installations (Andreu Rico, 2018; José Alfonso Alonso Lorenzo, n.d.). The second, the calculation of the wiring sections using the ICT-18 voltage drop and heating criteria, which indicates that these sizes are suitable for most of these types of installations (Andreu Rico, 2018; José Alfonso Alonso Lorenzo, n.d.; Ministerio de ciencia y tecnología, 2003).",,,,False
1744,MATERIALS PER NEW CAPACITY INSTALLED EV BATTERIES,materials_per_new_capacity_installed_ev_batteries,"['MATERIALS I', 'EV BATTERIES I']",kg/MW,"(nan, nan)",Auxiliary,Normal,10% of the mine's ore cost has been added to the manufactured product (scrap).,,,,False
1745,MATERIALS PER NEW CAPACITY INSTALLED EV BATTERIES LFP,materials_per_new_capacity_installed_ev_batteries_lfp,['MATERIALS I'],kg/MW,"(nan, nan)",Constant,External,Materials requirements per EV battery LFP. It has been established that each battery has a capacity of 60 kWh (as several models on the market at 2021) and 100 kW of power. -LFP: From Dunn et al 2014 has been achieved the (%) of Aluminium and cooper of an EV battery From Linda Gaines et al 2009 has been achieved the amount of phosphorus and iron from the LFP battery From Luis De La Torre Palacios et al 2019 has been achieved the minerals from the cathodes. From Dunn et al 2015 has been obtained the EnU of some components of the battery in percentage (Graphite).,,,,False
1746,MATERIALS PER NEW CAPACITY INSTALLED EV BATTERIES LMO,materials_per_new_capacity_installed_ev_batteries_lmo,['MATERIALS I'],kg/MW,"(nan, nan)",Constant,External,"Materials requirements per EV battery LiMnO2.It has been established that each battery has a capacity of 60 kWh (as several models on the market at 2021) and 100 kW of power. -LiMnO2: From Dunn et al 2014 has been obtained the weight (%) of Aluminium and cooper of an EV battery, from Dunn et al 2015 has been achieved the EnU of some components of the battery in percentage (Lithium, Manganese and Graphite).",,,,False
1747,MATERIALS PER NEW CAPACITY INSTALLED EV BATTERIES NCA,materials_per_new_capacity_installed_ev_batteries_nca,['MATERIALS I'],kg/MW,"(nan, nan)",Constant,External,"Materials requirements per EV battery NCA.It has been established that each battery has a capacity of 60 kWh (as several models on the market at 2021) and 100 kW of power. -NCA: From Dunn et al 2014 has been achieved the (%) of Aluminium and cooper of an EV battery, from Luis De La Torre Palacios et al 2019 has been achieved the minerals from the cathodes. From Dunn et al 2015 has been obtained the EnU of some components of the battery in percentage (Graphite) assuming a similar percentage to NMC batteries.",,,,False
1748,MATERIALS PER NEW CAPACITY INSTALLED EV BATTERIES NMC622,materials_per_new_capacity_installed_ev_batteries_nmc622,['MATERIALS I'],kg/MW,"(nan, nan)",Constant,External,"Materials requirements per EV battery NMC622.It has been established that each battery has a capacity of 60 kWh (as several models on the market at 2021) and 100 kW of power. -NMC-622: From Dunn et al 2014 has been obtained the weight (%) of Aluminium and copper of an EV battery, from Luis De La Torre Palacios et al 2019 has been achieved the minerals from the cathodes. From Dunn et al 2015 has been obtained the EnU of some components of the battery in percentage (Graphite).",,,,False
1749,MATERIALS PER NEW CAPACITY INSTALLED EV BATTERIES NMC811,materials_per_new_capacity_installed_ev_batteries_nmc811,['MATERIALS I'],kg/MW,"(nan, nan)",Constant,External,"Materials requirements per EV battery NMC811. It has been established that each battery has a capacity of 60 kWh (as several models on the market at 2021) and 100 kW of power. -NMC-811: From Dunn et al 2014 has been obtained the weight (%) of Aluminium and cooper of an EV battery, from Luis De La Torre Palacios et al 2019 has been achieved the minerals from the cathodes. From Dunn et al 2015 has been obtained the EnU of some components of the battery in percentage (Graphite).",,,,False
1750,MATRIX COUNTRY REGION,matrix_country_region,"['REGIONS 35 I', 'REGIONS 9 I']",,"(nan, nan)",Constant,External,"GET_DIRECT_CONSTANTS( 'model_parameters/constants.xlsx', 'constants', 'D76' )",,,,False
1751,MATRIX OF MAXIMUM LAND CHANGES,matrix_of_maximum_land_changes,"['REGIONS 9 I', 'LANDS I', 'LANDS MAP I']",km2,"(nan, nan)",Auxiliary,Normal,matrix of maximum land changes by region. FROM USE LANDS_I TO USE LANDS_MAP_I is the percent of use LANDS_I (related to the initial value) that can be converted to use LANDS_I,,,,False
1752,MATRIX UNIT PREFIXES,matrix_unit_prefixes,"['UNIT PREFIXES I', 'UNIT PREFIXES1 I']",DMNL,"(nan, nan)",Constant,External,"Conversion from Matrix unit prefixes[tera,BASE UNIT] (1 T$ = 1e12 $).",,,,False
1753,MAX CYCLES BATTERIES EV,max_cycles_batteries_ev,"['TRANSPORT POWER TRAIN I', 'BATTERY VEHICLES I']",cycle,"(nan, nan)",Constant,External,Max cycles for a EV Battery,,,,False
1754,MAX Cu PRICE,max_cu_price,,$/t,"(nan, nan)",Constant,External,Set maximum copper price if the demand is higher than the supply. This is chosen by the authors of the model. A max. is choosen since vensim did not offer the option to increase the price until demand and price match simultanously.,,,,False
1755,MAX GAS PRICE FOR LIMIT,max_gas_price_for_limit,,$/Btu,"(nan, nan)",Constant,External,"Maximum of the gas price, before the gas price growth limit is kicking in.",,,,False
1756,MAX LIFETIME EV BATTERIES,max_lifetime_ev_batteries,['EV BATTERIES I'],Years,"(nan, nan)",Constant,External,Maximum lifetime of the batteries for electric vehicles if used solely for mobility.,,,,False
1757,MAX LIFETIME PASSENGER VEHICLES,max_lifetime_passenger_vehicles,['TRANSPORT MODE I'],Years,"(nan, nan)",Constant,External,,,,,False
1758,MAX OIL PRICE FOR LIMIT,max_oil_price_for_limit,,$/bbl,"(nan, nan)",Constant,External,"Maximum of the Oil price, before the oil price growth limit is kicking in.",,,,False
1759,MAX VARIATION EU HOUSEHOLDS PER 100 PEOPLE,max_variation_eu_households_per_100_people,"['REGIONS EU27 I', 'HOUSEHOLDS DEMOGRAPHY I']",households/(person*Year),"(nan, nan)",Constant,External,Maximum annual variations in the ratio of households per 100 people.,,,,False
1760,MAX VEHICLE DISTANCE,max_vehicle_distance,['PASSENGERS TRANSPORT MODE I'],km/(Year*vehicle),"(nan, nan)",Constant,External,,,,,False
1761,MAX capacity for elec storage of the EV batteries in one day,max_capacity_for_elec_storage_of_the_ev_batteries_in_one_day,['REGIONS 35 I'],TW*h/cycle,"(nan, nan)",Auxiliary,Normal,max capacity in a day given by EV batteries for electricity storage,,,,False
1762,MAX capacity for elec storage of the EV vehicles,max_capacity_for_elec_storage_of_the_ev_vehicles,['REGIONS 35 I'],TW*h/Year,"(nan, nan)",Auxiliary,Normal,max capacity in a year given by EV batteries for electricity storage,,,,False
1763,MAX power for elec storage of the EV vehicles,max_power_for_elec_storage_of_the_ev_vehicles,['REGIONS 35 I'],TW,"(nan, nan)",Auxiliary,Normal,max power given by EV batteries for electricity storage,,,,False
1764,MAXIMUM ANNUAL LAND USE CHANGE,maximum_annual_land_use_change,,DMNL,"(nan, nan)",Constant,External,Maximum land use changes observed in historical period relative to the initial land area of each type,,,,False
1765,MAXIMUM Al PRICE,maximum_al_price,,$/t,"(nan, nan)",Constant,External,Set Maximum of the Aluminium price for the case that supply is higher than demand. Used to avoid floating point error in Vesnim and due to the fact that the could not effect the demand in the same time step.,,,,False
1766,MAXIMUM CONSTANT DURABLES NON DISAGGREGATED COUNTRIES,maximum_constant_durables_non_disaggregated_countries,"['REGIONS NON DISAGGREGATED HH I', 'COICOP DURABLES I']",DMNL,"(nan, nan)",Constant,External,Maximum constant parameter for the calcualtion of the propensity to consume of durables,,,,False
1767,MAXIMUM CONSTANT NON DURABLES NON DISAGGREGATED COUNTRIES,maximum_constant_non_durables_non_disaggregated_countries,['REGIONS NON DISAGGREGATED HH I'],DMNL,"(nan, nan)",Constant,External,Maximum constant parameter for the calcualtion of the propensity to consume of non durables,,,,False
1768,MAXIMUM CROP SHARES,maximum_crop_shares,"['REGIONS 9 I', 'LAND PRODUCTS I']",DMNL,"(nan, nan)",Constant,External,maximum shares than highly exigent crops can achieve. Not activated.,,,,False
1769,MAXIMUM EXPLOITATION WATER COEFFICIENT,maximum_exploitation_water_coefficient,,DMNL,"(nan, nan)",Constant,Normal,"max exploitable to preserve envirn systems (from Amandine) Could change with policies, we can put in the excel: scenario_parameters, add in water explotation. 0.3 and 0.2.",,,,False
1770,MAXIMUM FOREST STOCK PER AREA,maximum_forest_stock_per_area,['REGIONS 9 I'],m3/km2,"(nan, nan)",Constant,External,maximum forest avobe ground per area not including distirbance for natural causes,,,,False
1771,MAXIMUM INCREASE LIFE EXPECTANCY AT BIRTH BY HEALTH EXPENDITURE,maximum_increase_life_expectancy_at_birth_by_health_expenditure,,DMNL,"(nan, nan)",Constant,External,"Top limit to the increase of life expectancy at birth due to government expenditures on health. Source: (Aisa et al., 2014)",,,,False
1772,MAXIMUM IRRIGATED CROPS SHARES,maximum_irrigated_crops_shares,"['REGIONS 9 I', 'LAND PRODUCTS I']",DMNL,"(nan, nan)",Constant,External,"maximum shares that crops can achieve, not activated.",,,,False
1773,MAXIMUM LAND USES BY SOURCE,maximum_land_uses_by_source,"['REGIONS 9 I', 'LANDS I']",DMNL,"(nan, nan)",Constant,External,Used when the limits to expansion in the case of forest plantations adn rainfed cropland is drive by the land type that demands the land ( SELECT_LIMITS_LAND_BY_SOURCE_SP=1). It gives the share of land that can be increased relative to the area in the initial year. =1 means no increase allowed.,,,,False
1774,MAXIMUM LIFE EXPECTANCY AT BIRTH,maximum_life_expectancy_at_birth,['SEX I'],Years,"(nan, nan)",Constant,External,Maximum of the life expectancy at birth to human beings.,,,,False
1775,MAXIMUM LOAD FACTOR,maximum_load_factor,['PASSENGERS TRANSPORT MODE I'],persons/vehicle,"(nan, nan)",Constant,External,,,,,False
